date,MSCI_EMI
2019-03-28,15249.36744962
2019-03-29,15324.3266091825
2019-04-01,15136.924117509
2019-04-02,15210.188781
2019-04-03,15268.34537438
2019-04-04,15259.87119864
2019-04-05,15290.73127197
2019-04-08,15348.359393564
2019-04-09,15399.7738925406
2019-04-10,15246.04761303
2019-04-11,15222.281238648
2019-04-12,15191.9826807338
2019-04-15,15246.766360273
2019-04-16,15341.1302678445
2019-04-17,15320.6839539351
2019-04-18,15345.152121657
2019-04-19,15349.9647571
2019-04-22,15407.6527403642
2019-04-23,15527.2785166521
2019-04-24,15641.7463890492
2019-04-25,15514.5924264292
2019-04-26,15497.9074227114
2019-04-29,15496.45547985
2019-04-30,15426.0466016865
2019-05-01,15614.3449738413
2019-05-02,15661.7340386165
2019-05-03,15527.6934200278
2019-05-06,15365.79716004
2019-05-07,15245.2679695968
2019-05-08,15085.132444492
2019-05-09,14745.6905300925
2019-05-10,14625.5034072546
2019-05-13,14567.388168273
2019-05-14,14444.203913748
2019-05-15,14441.0941878509
2019-05-16,14443.9082097002
2019-05-17,14359.2924285035
2019-05-20,14294.7277688966
2019-05-21,14385.1568688
2019-05-22,14334.3676066313
2019-05-23,14250.3647017784
2019-05-24,14197.868572203
2019-05-27,14255.6431801008
2019-05-28,14552.5660764813
2019-05-29,14431.2656589738
2019-05-30,14646.8197016027
2019-05-31,14550.806661372
2019-06-03,14570.3258973984
2019-06-04,14729.51727
2019-06-05,14939.58465571
2019-06-06,15034.0273813536
2019-06-07,15058.905644699
2019-06-10,15145.69698488
2019-06-11,15128.0885093365
2019-06-12,15254.5988535084
2019-06-13,15185.2012844084
2019-06-14,15058.0014961831
2019-06-17,14963.2599082373
2019-06-18,14855.6835432384
2019-06-19,14864.306666664
2019-06-20,15081.233608728
2019-06-21,15082.17721712
2019-06-24,15126.2310785486
2019-06-25,14989.433665032
2019-06-26,14903.6848747476
2019-06-27,14939.6706081315
2019-06-28,14845.3027493652
2019-07-01,15032.0258575851
2019-07-02,14990.5542211632
2019-07-03,14880.5216780612
2019-07-04,14934.043768005
2019-07-05,15017.446895676
2019-07-08,14829.1633659691
2019-07-09,14774.4377505375
2019-07-10,14663.5837294505
2019-07-11,14728.3361909225
2019-07-12,14689.7564130168
2019-07-15,14699.743427004
2019-07-16,14779.2050975664
2019-07-17,14775.500921059
2019-07-18,14550.547984715
2019-07-19,14737.1047695696
2019-07-22,14600.126347677
2019-07-23,14692.7817183992
2019-07-24,14640.3578496672
2019-07-25,14831.1559256
2019-07-26,14986.7675215187
2019-07-29,14805.7941425728
2019-07-30,14815.26203365
2019-07-31,14866.979626746
2019-08-01,15013.5054870112
2019-08-02,14835.033143598
2019-08-05,14507.2041237125
2019-08-06,14505.4689489189
2019-08-07,14640.2799473773
2019-08-08,14783.9563007093
2019-08-09,14967.6247333538
2019-08-12,14891.9537576844
2019-08-13,14653.0495359857
2019-08-14,14858.6481639345
2019-08-15,14707.7697821153
2019-08-16,14839.9026214082
2019-08-19,15112.620811381
2019-08-20,15048.1258800546
